skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
has,has,2,Marketing Skills,0.5,2,0,has,Social Media for Job Prospecting; Advanced Interpersonal Skills
help,help,2,Human Resources,0.5,2,0,help,Workplace Diversity; Setting SMART Objectives and Planning
hygiene,hygiene,2,General,1.0,1,0,hygiene,Designing workplace hygiene policies; Overview of hygiene principles
including,including,2,Graphic Design,1.0,1,0,including,Practice your Autocad Skills; Revit 2020 Create Walls of Armor
influence,influence,2,Personal Development,0.5,2,0,influence,Influence Persuasion; leadership and influence
integration,integration,2,Graphic Design,0.5,2,0,integration,Revit 2020Simple Steps to Create Splendid Stairs; HTML Advanced Techniques
internal,internal,2,Project Management,0.5,2,0,internal,Managing key stakeholders; Risk Management and internal controls
internet,internet,2,Marketing Skills,0.5,2,0,internet,Social Media for Job Prospecting; The Psychology of Internet Addiction
jquery,jquery,2,Programming,1.0,1,0,jquery,HTML Web Design Tools; JavaScript Regular Expressions and Drawing
json,json,2,Programming,1.0,1,0,json,PHP 2020 Database; JavaScript Regular Expressions and Drawing
just,just,2,Programming,0.5,2,0,just,Introduction to Visual Basic; Attention To Details
know what,know what,2,Business Fundamentals,0.5,2,0,know what,Introduction to Digital Transformation; The Art of Happiness
language,language,2,Public Speaking,0.5,2,0,language,Body Language Fundamentals; Python Database
layers,layers,2,Graphic Design,0.5,2,0,layers,Practice your Autocad Skills; Introduction to Networks 1
layout,layout,2,Programming,1.0,1,0,layout,CSS Basics; Practice Android Studio 2017
leader,leader,2,Career Development,0.5,2,0,leader,Shifting Focus from Team Member to Team Leader; Building First Impression
manager,manager,2,Career Development,0.5,2,0,manager,Transition to Senior Management; Giving Constructive Feedback
material,material,2,Graphic Design,1.0,1,0,material,03 D Max Become an Expert in the Final Touches; 03 D Max Master Creating your Own Project Material
methods,methods,2,Programming,1.0,1,0,methods,HTML Advanced Techniques; Python Basics 2020
microsoft,microsoft,2,Technology Applications,1.0,1,0,microsoft,Get Closer to your Windows 10 Computer; Access 2019 Essentials
modeling,modeling,2,Graphic Design,1.0,1,0,modeling,03 D Max Start Creating your Own Project Material; Revit 2020Simple Steps to Create Splendid Stairs
models,models,2,General,0.5,2,0,models,Digital Business Models; Autocad 3D Be the Embodied Hero
movements,movements,2,Graphic Design,1.0,1,0,movements,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max
networks,networks,2,General,0.5,2,0,networks,Neural networks; Introduction to Networks 1
oop,oop,2,Programming,1.0,1,0,oop,Advanced JavaScript; PHP 2020 OOP
options,options,2,Technology Applications,0.5,2,0,options,Get Closer to your Windows 10 Computer; Adobe InDesign Formatting Books
people,people,2,Entrepreneurship,0.5,2,0,people,Leading at the Speed of Trust; The Twenties Journey
phone,phone,2,Mobile Development,0.5,2,0,phone,Support Your Android Sensors; Android Studio Build Your Own APK
